,0,1,2,3,4,5
0,State/UT,Funds sanctioned by centre,Funds released by centre,Utilised Amount,Unspent Balance,Districts covered (in %)
1,Andhra Pradesh,65.2,65.2,21.6,43.6,100%
2,Arunachal Pradesh,20.9,12.1,4.2,7.9,14%
3,Assam,44.3,36.6,16.7,19.9,82%
4,Bihar,160.2,77.7,51.8,25.9,100%
5,Chhattisgarh,94.8,33.5,19.4,14.1,81%
6,Goa,6.6,4.0,0.5,3.5,100%
7,Gujarat,184.1,143.0,96.2,46.8,100%
8,Haryana,61.4,41.4,24.9,16.5,95%
9,Himachal Pradesh,69.3,43.4,0.4,43.0,100%
10,Jammu & Kashmir,15.9,9.9,8.5,1.4,32%
11,Jharkhand,41.8,30.1,35.1,-5.0,83%
12,Karnataka,40.6,24.5,0.2,24.3,97%
13,Kerala,40.9,28.1,15.6,12.5,100%
14,Madhya Pradesh,137.5,83.2,85.8,-2.5,53%
15,Maharashtra,104.3,65.4,16.7,48.7,67%
16,Manipur,2.3,1.7,-,-,25%
17,Meghalaya,8.3,6.2,0.8,5.5,45%
18,Mizoram,24.1,13.2,18.1,-4.9,50%
19,Nagaland,17.2,15.5,15.5,-,8%
20,Odisha,151.7,96.3,67.5,28.8,100%
21,Punjab,43.0,28.0,10.5,17.5,100%
22,Rajasthan,193.2,41.4,91.0,-49.6,33%
23,Sikkim,11.1,8.5,9.4,-0.8,100%
24,Tamil Nadu,48.0,32.1,6.6,25.5,100%
25,Telangana,139.8,83.9,11.1,72.7,29%
26,Tripura,32.6,23.0,22.9,0.1,100%
27,Uttarakhand,15.2,7.7,2.7,5.1,100%
28,Uttar Pradesh,32.1,18.5,5.4,13.1,32%
29,West Bengal,102.6,75.3,80.4,-5.1,90%
30,Andaman & Nicobar Islands,1.0,0.7,0.5,0.2,67%
31,Chandigarh,4.3,0.7,0.4,0.3,100%
32,Dadra & Nagar Haveli,0.5,0.4,0.4,-0.03,100%
33,Daman & Diu,1.4,,0.7,,100%
34,Lakshadweep,2.2,2.2,1.7,0.5,100%
35,NCT of Delhi,3.1,1.3,-,-,9%
36,Puducherry,5.0,3.4,2.7,0.7,50%
37,Total,1926.5,1157.8,745.8,409.7,69%
